Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
GoKids!,Educational,"July 17, 2020",24M,"5,000,000+",1.11.11,4.4 and up,In-Game Purchases,http://gokidsmobile.com/privacy-policy/
01Digital,Education,"August 3, 2020",73M,"10,000,000+",5.10,4.3 and up,Digital Purchases,https://policies.google.com/privacy
01Digital,Education,"August 11, 2020",79M,"5,000,000+",3.8.6,4.3 and up,Digital Purchases,https://policies.google.com/privacy
GoKids!,Educational,"July 13, 2020",26M,"10,000,000+",1.7.3,4.4 and up,Digital Purchases,http://gokidsmobile.com/privacy-policy/
WIND Mobility,Travel & Local,"August 3, 2020",36M,"500,000+",4.23.1.1916,4.4 and up,"Shares Location, Digital Purchases",https://policies.google.com/privacy
4enc.com,Lifestyle,"July 3, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,4enc.com,https://policies.google.com/privacy
01Digital,Education,"August 10, 2020",64M,"5,000,000+",2.9,4.3 and up,Digital Purchases,https://policies.google.com/privacy
Getaround Europe,Travel & Local,"August 4, 2020",87M,"1,000,000+",8.16.0,5.0 and up,Getaround Europe,https://en.getaround.com/privacy
nextbike,Travel & Local,"August 4, 2020",11M,"1,000,000+",v4.8.11,5.0 and up,nextbike,https://policies.google.com/privacy
beemo,Travel & Local,"August 5, 2020",47M,"500,000+",3.2007,4.4 and up,Digital Purchases,https://policies.google.com/privacy
"Neutron Holdings, Inc.",Travel & Local,"August 13, 2020",36M,"10,000,000+",2.106.4,5.0 and up,"Neutron Holdings, Inc.",https://www.li.me/privacy/
EclipSim,Travel & Local,"September 26, 2019",4.4M,"10,000,000+",9.2.194,4.1 and up,Shares Location,https://mobiwia.com/gpsstatus/privacy
Football Stream,Sports,"July 27, 2020",6.5M,"1,000,000+",1.4.5,4.4 and up,R$18.99 - R$308.00 per item,http://fbstream.org/#privacy
НСТ,Sports,"August 5, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,"Users Interact, In-App Purchases",https://policies.google.com/privacy
LG유플러스(LG Uplus Corporation),Sports,"July 28, 2020",30M,"1,000,000+",07.04.00,5.0 and up,LG유플러스(LG Uplus Corporation),https://policies.google.com/privacy
Manchester United Limited,Sports,"August 4, 2020",31M,"500,000+",2.9.1,4.1 and up,Shares Info,https://policies.google.com/privacy
株式会社運動通信社,Sports,"August 6, 2020",32M,"500,000+",5.0.2,5.0 and up,Users Interact,https://policies.google.com/privacy
winkypinky,Education,"July 13, 2020",Varies with device,"1,000,000+",Varies with device,4.0 and up,R$8.49 per item,http://www.winkypinky.com/privacy-policy.html
MX Media (formerly J2 Interactive),Tools,"August 14, 2020",5.8M,"1,000,000+",1.5.1,4.2 and up,Users Interact,https://mxsharekaro.com/privacy.html
Google LLC,Tools,"August 13, 2020",Varies with device,"500,000,000+",Varies with device,Varies with device,Google LLC,http://www.google.com/policies/privacy/
Ziipin Network,Tools,"August 14, 2020",48M,"10,000,000+",3.23.85,4.1 and up,Ziipin Network,https://policies.google.com/privacy
Sami4Apps,Tools,"June 18, 2020",10M,"10,000,000+",v2.0.2,4.0 and up,R$5.49 per item,https://www.sami4apps.com/privacy/privacy-policy.html
TheMauSoft,Tools,"July 3, 2020",6.3M,"50,000,000+",1.6.45,4.1 and up,TheMauSoft,https://policies.google.com/privacy
SuperSoftTech,Tools,"May 31, 2020",11M,"100,000,000+",2.6.7,4.1 and up,R$19.99 - R$244.99 per item,http://50.116.2.183/assets/privacy.html
Google LLC,Tools,"August 13, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Unrestricted Internet,http://www.google.com/policies/privacy
Google LLC,Tools,"August 3, 2020",Varies with device,"1,000,000,000+",Varies with device,Varies with device,Google LLC,http://www.google.com/policies/privacy
Dricodes,Tools,"Eligible if bought after 7/2/2016.
","October 6, 2019",3.8M,"10,000+",4.5.1 pro,5.0 and up,https://policies.google.com/privacy
Augustro,Tools,"Eligible if bought after 7/2/2016.
","July 30, 2020",25M,"5,000+",3.1.12,5.0 and up,https://policies.google.com/privacy
StreamSoft,Tools,"August 7, 2020",7.5M,"100,000+",4.51 Pro,5.0 and up,StreamSoft,https://pingtools.org/privacy.html
ukpriya,Tools,"Eligible if bought after 7/2/2016.
","February 9, 2020",6.5M,"5,000+",3.4.0,5.0 and up,/store/apps/details?id=com.ultimate.intelligent.privacy.quantum.flare
Cosmic Pie Design,Tools,"Eligible if bought after 7/2/2016.
","May 27, 2020",4.5M,"100,000+",1.03,5.0 and up,https://policies.google.com/privacy
OLIMSOFT,Video Players & Editors,"July 17, 2020",101M,"100,000+",5.00.11,5.0 and up,R$4.19 per item,http://www.edavs.com/oplayer_privacy
ASD Dev Video Player for All Format,Video Players & Editors,"Eligible if bought after 7/2/2016.
","June 19, 2020",Varies with device,"1,000+",Varies with device,Varies with device,https://rocks-player.firebaseapp.com/privacy.html
MX Media (formerly J2 Interactive),Video Players & Editors,"July 22, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,MX Media (formerly J2 Interactive),https://sites.google.com/site/mxvpen/about/privacy-policy
QuVideo Inc. Best Video Editor & Video Maker App,Video Players & Editors,"Eligible if bought after 7/2/2016.
","August 13, 2020",29M,"500,000+",6.0.4,5.0 and up,https://policies.google.com/privacy
Paolo Turatti,Video Players & Editors,"Eligible if bought after 7/2/2016.
","July 29, 2020",Varies with device,"100,000+",108.0,4.1 and up,https://iptvextreme.org/public/privacy/index.html
InShot Inc.,Video Players & Editors,"August 14, 2020",6.8M,"50,000,000+",1.1.89,5.0 and up,R$9.99 per item,https://inshot.dev/privacypolicy.html
"Tool Apps (music, video, recorder)",Video Players & Editors,"Eligible if bought after 7/2/2016.
","May 4, 2019",29M,"10,000+",3.2.5,4.2 and up,https://policies.google.com/privacy
Alexander Sofronov,Video Players & Editors,"August 6, 2020",Varies with device,"100,000+",5.4.10,4.2 and up,Alexander Sofronov,http://iptvremote.ru/apps/privacy/
BOX Video Downloader Dev Team,Video Players & Editors,"August 7, 2020",15M,"1,000,000+",1.4.8,5.0 and up,Unrestricted Internet,https://static.maxvideodownloader.com/maxvideodownloader/broswer/BOX_video_downloader_privacy_policy.html
VideoShow EnjoyMobi Video Editor & Video Maker Inc,Video Players & Editors,"July 16, 2020",12M,"1,000,000+",1.1.3,5.0 and up,R$4.89 - R$38.99 per item,http://file.enjoy-global.com/privacy/VideoDownloader_Privacy_Policy.html
Leap Fitness Group,Video Players & Editors,"June 12, 2020",8.9M,"50,000,000+",1.0.5,5.1 and up,R$20.99 per item,http://www.northparkapp.com/privacypolicy.html
Leap Fitness Group,Video Players & Editors,"August 3, 2020",9.7M,"10,000,000+",1.1.1,5.1 and up,R$20.99 per item,http://www.northparkapp.com/privacypolicy.html
Simple Design Ltd.,Video Players & Editors,"August 26, 2019",6.3M,"10,000,000+",1.0.1,5.0 and up,Simple Design Ltd.,https://policies.google.com/privacy
InShot Inc.,Video Players & Editors,"May 25, 2020",9.4M,"100,000,000+",1.2.1,5.1 and up,R$29.99 - R$73.99 per item,http://www.myinstashot.com/privacypolicy.html
Simple Design Ltd.,Video Players & Editors,"May 24, 2020",9.0M,"100,000,000+",1.1.1,5.1 and up,Simple Design Ltd.,http://period-calendar.com/privacypolicy.html
InShot Inc.,Video Players & Editors,"August 7, 2020",7.6M,"10,000,000+",1.3.8,5.0 and up,R$11.99 per item,https://inshot.dev/privacypolicy.html
Photo Downloader & Video Downloader & Story Saver,Video Players & Editors,"August 6, 2020",4.8M,"100,000+",3.7,4.1 and up,Photo Downloader & Video Downloader & Story Saver,https://policies.google.com/privacy
application.development.studio,Video Players & Editors,"June 14, 2020",6.7M,"5,000,000+",1.88,4.4 and up,application.development.studio,https://policies.google.com/privacy
Video Downloader & Video Player & Photo Downloader,Video Players & Editors,"August 6, 2020",7.3M,"10,000,000+",1.03.88.0806,4.4 and up,R$4.09 - R$204.99 per item,https://policies.google.com/privacy
VideoShow EnjoyMobi Video Editor & Video Maker Inc,Video Players & Editors,"August 13, 2020",29M,"50,000,000+",4.7.6,4.1 and up,Digital Purchases,http://file.enjoy-global.com/privacy/Terms_of_Use_Agreement_and_Privacy_Policy_Filmigo.html
Leopard V7,Video Players & Editors,"May 18, 2020",4.7M,"10,000,000+",2.7.1,4.1 and up,Leopard V7,https://s3.amazonaws.com/appprivacy/VideoPlayerPrivacy.txt
InShot Inc.,Video Players & Editors,"July 31, 2020",9.7M,"50,000,000+",1.4.8,5.1 and up,InShot Inc.,http://www.myinstashot.com/privacypolicy.html
yescompany,Video Players & Editors,"June 30, 2020",6.1M,"500,000+",1.0.8,4.2 and up,Users Interact,https://privacyonair.blogspot.com/2020/06/blog-post.html
dobby.life,Video Players & Editors,"August 1, 2020",7.9M,"1,000,000+",23.4,5.0 and up,"Users Interact, In-App Purchases",https://policies.google.com/privacy
"Giphy, Inc.",Video Players & Editors,"August 3, 2020",73M,"10,000,000+",3.9.2,4.4 and up,Users Interact,https://policies.google.com/privacy
Lenz.ir,Video Players & Editors,"August 11, 2020",16M,"1,000,000+",4.4.0-play,4.4 and up,Lenz.ir,https://policies.google.com/privacy
Google LLC,Entertainment,"August 6, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Users Interact,http://www.google.com/intl/en/policies/privacy/
Azur Interactive Games Limited,Action,"December 27, 2019",104M,"50,000,000+",1.53.00,4.1 and up,In-Game Purchases,https://privacy.azurgames.com
Candy Mobile,Action,"November 14, 2019",20M,"50,000,000+",1.8,4.0 and up,Digital Purchases,https://policies.google.com/privacy
NetEase Games,Action,"August 13, 2020",74M,"10,000,000+",2.0.4121,4.1 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
FT Games,Action,"June 22, 2020",96M,"50,000,000+",2.36,4.4 and up,In-Game Purchases,http://www.feelingtouch.com/feelingtouch_privacy.htm
"SBS I&M Co., Ltd.",Video Players & Editors,"August 10, 2020",48M,"5,000,000+",2.90.2,4.0.3 and up,"SBS I&M Co., Ltd.",http://w3.sbs.co.kr/cs/customerPrivacy.do?div=pc_privacy
Poxel Studios,Action,"July 6, 2020",97M,"10,000,000+",0.87c,5.0 and up,Digital Purchases,https://poxelstudios.com/privacy.html
BANDAI NAMCO Entertainment Inc.,Action,"July 31, 2020",75M,"10,000,000+",6.2.0,4.4 and up,"Users Interact, Digital Purchases",https://legal.bandainamcoent.co.jp/privacy/
Tencent Games,Action,"July 26, 2020",Varies with device,"100,000,000+",0.19.0,Varies with device,"Users Interact, Digital Purchases",http://pubgmobile.proximabeta.com/privacy.html
ChaloApps,Action,"July 28, 2020",70M,"10,000,000+",1.9.66,4.1 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
WG-Gesucht.de,Travel & Local,"July 16, 2020",14M,"500,000+",1.27.4,5.0 and up,"Users Interact, Unrestricted Internet",https://policies.google.com/privacy
Flightradar24 AB,Travel & Local,"August 12, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Digital Purchases,http://www.flightradar24.com/privacy-policy
交通部臺灣鐵路管理局,Travel & Local,"May 27, 2020",21M,"500,000+",2.0.7,5.0 and up,交通部臺灣鐵路管理局,https://traapp-13627.firebaseapp.com/privacy.html
