Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
SPUTNIK LLC,Travel & Local,"May 12, 2020",5.4M,"1,000,000+",3.14.60,4.4 and up,SPUTNIK LLC,https://policies.google.com/privacy
Trainline SAS,Travel & Local,"May 12, 2020",11M,"1,000,000+",Varies with device,Varies with device,Trainline SAS,https://www.trainline.eu/privacy-policy
Mobil Atolye,Travel & Local,"August 14, 2020",8.0M,"1,000,000+",12.0.25,4.1 and up,Mobil Atolye,https://policies.google.com/privacy
MTR Corporation Limited,Travel & Local,"August 5, 2020",97M,"1,000,000+",20.3,6.0 and up,MTR Corporation Limited,https://policies.google.com/privacy
Mobicia,Travel & Local,"July 3, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,In-App Purchases,https://londonbusapp.com/privacy
IRCTC Official,Travel & Local,"August 10, 2020",15M,"10,000,000+",3.0.29,5.0 and up,"Users Interact, Shares Info, Digital Purchases",https://policies.google.com/privacy
PR I.T. Directorate,Travel & Local,"August 11, 2020",9.7M,"1,000,000+",4.7,4.1 and up,"Users Interact, Digital Purchases",https://api.pakrail.gov.pk/privacypolicy.htm
KLM Koninklijke Luchtvaart Maatschappij N.V.,Travel & Local,"August 13, 2020",31M,"1,000,000+",11.3.0,5.0 and up,Shares Info,http://www.klm.com/travel/NL_en/customer_support/privacy_policy/privacy_policy.htm
Vrbo,Travel & Local,"August 12, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,"Users Interact, Shares Info",https://www.vrbo.com/legal/privacy-policy
easyJet Airline Company Limited,Travel & Local,"August 12, 2020",62M,"10,000,000+",2.47.2,5.0 and up,easyJet Airline Company Limited,http://www.easyjet.com/en/book/privacypolicy
Hotel Urbano Viagens e Turismo S.A.,Travel & Local,"August 9, 2020",29M,"5,000,000+",5.4.2,5.0 and up,Users Interact,https://www.hurb.com/privacy-policy
Amtrak,Travel & Local,"August 10, 2020",17M,"1,000,000+",4.1.1,5.0 and up,Amtrak,http://www.amtrak.com/privacy-policy
Tutu.ru,Travel & Local,"August 10, 2020",77M,"5,000,000+",3.26.3,5.0 and up,Tutu.ru,https://policies.google.com/privacy
"Booz Allen Hamilton, Inc.",Travel & Local,"August 11, 2020",94M,"100,000+",2.0.0,8.0 and up,"Booz Allen Hamilton, Inc.",https://www.recreation.gov/privacy-policy
Nala Multimédia,Travel & Local,"July 8, 2020",26M,"100,000+",4.4.4,4.1 and up,Users Interact,https://policies.google.com/privacy
redBus,Travel & Local,"August 13, 2020",42M,"10,000,000+",13.2.2,5.1 and up,Users Interact,https://www.redbus.in/info/privacypolicy
Nederlandse Kampeerauto Club,Travel & Local,"June 21, 2019",99M,"500,000+",5.5.4,4.1 and up,"Users Interact, Digital Purchases",https://www.campercontact.com/en/content/privacy-policy
Resultados,Sports,"August 13, 2020",15M,"5,000,000+",3.9.0,5.0 and up,Resultados,https://policies.google.com/privacy
NorApps AS,Sports,"August 7, 2020",Varies with device,"10,000,000+",117.0.8194.20200806,Varies with device,In-App Purchases,http://www.fotmob.com/privacy_fotmob.html
Goal.com,Sports,"February 10, 2020",33M,"1,000,000+",10.0.3,4.2 and up,Users Interact,https://www.goal.com/en/legal/privacy-policy
fskoeln,Sports,"March 1, 2020",21M,"100,000+",5.1.2-gpr,4.2 and up,fskoeln,https://policies.google.com/privacy
beIN MEDIA GROUP,Sports,"May 27, 2020",31M,"10,000,000+",5.0.3,5.0 and up,beIN MEDIA GROUP,https://www.bein.net/en/privacy-policy/
Outdooractive GmbH,Travel & Local,"August 6, 2020",34M,"500,000+",3.3.11,5.1 and up,Digital Purchases,https://policies.google.com/privacy
Juventus Football Club S.p.A.,Sports,"July 2, 2020",Varies with device,"1,000,000+",4.0.3,Varies with device,"Users Interact, Shares Info",http://www.juventus.com/it/privacy.php
Olympia-Verlag,Sports,"July 23, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,R$3.49 - R$8.99 per item,https://policies.google.com/privacy
BBC Studios Limited,Sports,"August 3, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,BBC Studios Limited,http://www.bbc.co.uk/privacy/
Globo Comunicação e Participações S.A.,Sports,"August 13, 2020",Varies with device,"5,000,000+",Varies with device,5.0 and up,R$79.90 per item,https://policies.google.com/privacy
MR-Sports,Sports,"July 28, 2020",9.3M,"5,000,000+",1.16,4.4 and up,MR-Sports,https://www.freeprivacypolicy.com/privacy/view/07276066f9026414fafdc7ec7aac19e8
Footballdog Inc.,Sports,"October 11, 2019",15M,"1,000,000+",3.2.7 u,4.1 and up,Users Interact,http://api.allfootballapp.com/about/privacy_policy
Rambler&Co,Sports,"August 3, 2020",9.5M,"1,000,000+",4.5.131,4.4 and up,Users Interact,https://policies.google.com/privacy
HESPRESS,Sports,"March 23, 2020",15M,"100,000+",1.0.7,4.1 and up,Users Interact,https://www.iubenda.com/privacy-policy/8071813
Sports Stream,Sports,"July 21, 2020",9.9M,"10,000,000+",1.6.2,4.4 and up,R$18.99 - R$308.00 per item,https://policies.google.com/privacy
PSYNET,Sports,"August 11, 2020",32M,"1,000,000+",38.2.0,6.0 and up,"Users Interact, Digital Purchases",http://lsnt.psynet.co.kr:9002/license/privacy.html
Safe Media,Sports,"June 27, 2020",9.2M,"1,000,000+",1.4,4.1 and up,Safe Media,http://www.e-droid.net/privacy.php?ida=754458&idl=en
365Scores LTD,Sports,"July 30, 2020",17M,"10,000,000+",10.6.0,4.4 and up,Users Interact,http://www.365scores.com/privacy_policy/index.html
LiveScore Ltd.,Sports,"July 6, 2020",12M,"10,000,000+",4.0.3,4.4 and up,LiveScore Ltd.,https://policies.google.com/privacy
Alessandro La Rosa,Sports,"August 6, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Users Interact,http://tuttoilcalcio.it/privacy-policy
"Playlabs, LLC",Adventure,"July 14, 2020",146M,"10,000,000+",4.12,4.4 and up,Users Interact,http://playlabsmobile.com/privacy_policy_playlabs.html
Studio Wildcard,Adventure,"April 10, 2020",70M,"10,000,000+",2.0.15,7.0 and up,"Users Interact, Digital Purchases",http://playark.com/ark-survival-evolved-mobile-privacy-policy/
"Survival, Explore and Craft Games",Adventure,"July 2, 2020",Varies with device,"5,000,000+",5.0.5,Varies with device,"Users Interact, Shares Location, In-Game Purchases",http://www.survivalexplorecraft.com/p/privacy-policy.html
Fearless Sp. z o.o.,Adventure,"July 3, 2020",76M,"10,000,000+",6.0.86,4.4 and up,In-Game Purchases,http://privacy.pabis.pl/eyes.html
Bounce Global,Adventure,"July 8, 2020",41M,"5,000,000+",2.85,4.1 and up,In-Game Purchases,https://onebi.net/privacy-policy/
OneSoft Global PTE. LTD.,Adventure,"August 11, 2020",Varies with device,"50,000,000+",Varies with device,4.4 and up,R$3.19 - R$19.99 per item,https://sites.google.com/site/falconsquadprivacypolicy
SCOREBOOT,Tools,"Eligible if bought after 7/2/2016.
","July 22, 2020",3.8M,"10,000+",1.6-r,4.1 and up,http://scorega.me/privacy_hypnetpro.html
ANKAMA GAMES,Adventure,"June 1, 2020",4.8M,"1,000,000+",2.0.5,5.0 and up,"Users Interact, Digital Purchases",http://www.dofus-touch.com/en/privacy-policy
Frogmind,Adventure,"March 26, 2019",Varies with device,"10,000,000+",Varies with device,Varies with device,Digital Purchases,http://frogmind.com/tos-and-privacy-policy/
Hitcents,Adventure,"July 22, 2020",25M,"10,000,000+",1.2.1.57,4.0 and up,"Users Interact, Digital Purchases",http://www.hitcents.com/privacy-policy
luozirui,Tools,"March 14, 2020",6.6M,"100,000+",1.4.37(googlemap),4.0 and up,luozirui,https://policies.google.com/privacy
Augustro,Tools,"Eligible if bought after 7/2/2016.
","August 7, 2020",4.3M,"100,000+",5.1.pro.gp,4.1 and up,https://augustro-privacy.carrd.co/
Smart Scanner,Tools,"Eligible if bought after 7/2/2016.
","July 12, 2020",2.9M,"100,000+",1.2.5,4.2 and up,https://sites.google.com/view/barcodescannerprivacypolicies/
Apps360 Team,Tools,"Eligible if bought after 7/2/2016.
","July 12, 2020",2.9M,"100,000+",1.3.2,4.2 and up,http://www.besteverapps.com/privacy-policy.html
"Samsung Electronics Co.,  Ltd.",Tools,"July 3, 2020",Varies with device,"1,000,000,000+",Varies with device,Varies with device,"Samsung Electronics Co.,  Ltd.",https://policies.google.com/privacy
Flatfish Studio,Tools,"August 12, 2020",15M,"10,000,000+",2.3.11.32,4.2 and up,R$4.09 - R$164.99 per item,https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://play.google.com/store/apps/details?id%3Dcom.flatfish.cal.privacy&followup=https://play.google.com/store/apps/details?id%3Dcom.flatfish.cal.privacy&ec=GAVATg
Google LLC,Tools,"October 7, 2019",2.6M,"500,000,000+",7.8 (271241277),6.0 and up,Google LLC,http://www.google.com/policies/privacy
Winterfell Applab - Clone App & Status Downloader,Tools,"July 18, 2020",7.5M,"5,000,000+",1.4.00.0718,4.1 and up,In-App Purchases,https://policies.google.com/privacy
Quantum4u,Tools,"August 7, 2020",14M,"10,000,000+",1.1.39,4.1 and up,Users Interact,https://www.quantum4u.in/privacy-policy
essential tools,Tools,"July 9, 2020",14M,"5,000,000+",1.0.17,4.3 and up,R$7.99 - R$74.99 per item,https://policies.google.com/privacy
DUALSPACE,Tools,"July 16, 2020",7.5M,"100,000,000+",3.2.0,4.1 and up,R$9.99 - R$45.99 per item,https://policies.google.com/privacy
Piriform,Tools,"August 3, 2020",35M,"50,000,000+",5.0.0,5.0 and up,Digital Purchases,https://www.ccleaner.com/about/privacy-policy
APPS INNOVA,Tools,"August 12, 2020",18M,"10,000,000+",2.3.10,4.4 and up,Users Interact,http://appsinnova.com/privacy-policy.html
Nox Ltd.,Tools,"August 5, 2020",29M,"50,000,000+",2.8.8,4.4 and up,R$3.79 - R$129.99 per item,http://www.noxcleaner.com/privacy
3D Earth - weather app,Weather,"Eligible if bought after 7/2/2016.
","June 9, 2020",44M,"50,000+",1.1.30,6.0 and up,http://www.3dearthapp.com/555-help-center/1105-legal-information/2466-privacy-policy
kolov.com,Weather,"Eligible if bought after 7/2/2016.
","July 26, 2020",Varies with device,"1,000+",1.14.2-pro,Varies with device,https://sites.google.com/view/whatweather-privacy-policy-en/startseite
smart-pro android apps,Weather,"Eligible if bought after 7/2/2016.
","August 2, 2020",10M,"10,000+",56,4.1 and up,https://policies.google.com/privacy
ILMETEO srl,Weather,"Eligible if bought after 7/2/2016.
","June 22, 2020",Varies with device,"50,000+",Varies with device,Varies with device,http://mobile.ilmeteo.it/privacy-ita.html
WetterOnline GmbH,Weather,"August 12, 2020",21M,"100,000+",2020.16,5.0 and up,R$3.29 - R$25.00 per item,https://www.weatherandradar.com/android/privacy
Bastion7,Weather,"May 23, 2018",13M,"5,000+",1.17,4.0.3 and up,Bastion7,https://policies.google.com/privacy
Innovative Team,Weather,"Eligible if bought after 7/2/2016.
","March 19, 2020",13M,500+,1.9.3,4.4 and up,https://policies.google.com/privacy
cloud3squared,Weather,"August 13, 2020",9.3M,"100,000+",4.1.0,4.1 and up,Digital Purchases,https://cloud3squared.com/app/privacy/policy.html
WeatherBug,Weather,"Eligible if bought after 7/2/2016.
","June 27, 2020",Varies with device,"500,000+",Varies with device,Varies with device,https://www.weatherbug.com/legal/privacy
"TOHSOFT CO., LTD (PRO APPS)",Weather,"Eligible if bought after 7/2/2016.
","April 20, 2020",11M,"100,000+",Varies with device,Varies with device,https://sites.google.com/view/weather-privacy
Yahoo Japan Corp.,Weather,"August 6, 2020",19M,"5,000,000+",3.8.0,5.0 and up,Yahoo Japan Corp.,https://policies.google.com/privacy
My Home Apps,Weather,"August 8, 2020",25M,"1,000,000+",2.9.21-weather-home,5.0 and up,My Home Apps,http://myhomeapps.com/legal/privacy.html
Apalon Apps,Weather,"August 1, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Digital Purchases,http://www.apalon.com/privacy_policy.html
Windyty SE,Weather,"July 21, 2020",30M,"10,000,000+",25.0406,5.0 and up,R$7.49 - R$449.99 per item,https://www.windy.com/privacy
Leopard V7,Weather,"June 19, 2020",6.4M,"100,000+",1.2.0,4.1 and up,Leopard V7,https://s3.amazonaws.com/appprivacy/AppPrivacy.txt
Rain Kings,Weather,"August 14, 2020",18M,"100,000+",1.3.0,4.4 and up,R$4.99 - R$59.99 per item,https://sites.google.com/view/campprivacy
SFR,Video Players & Editors,"July 31, 2020",Varies with device,"10,000,000+",Varies with device,4.1 and up,Digital Purchases,https://policies.google.com/privacy
NAVER Corp.,Video Players & Editors,"June 16, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,NAVER Corp.,https://policies.google.com/privacy
"AbemaTV, Inc.",Video Players & Editors,"August 13, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Digital Purchases,https://abema.tv/about/privacy-policy
Mobile_V5,Video Players & Editors,"June 26, 2020",4.3M,"5,000,000+",2.8.2,4.1 and up,Mobile_V5,https://policies.google.com/privacy
VideoShow EnjoyMobi Video Editor & Video Maker Inc,Video Players & Editors,"August 11, 2020",27M,"100,000,000+",8.8.5rc,4.1 and up,Digital Purchases,http://www.enjoy-global.com/privacy.html
UPlayer,Video Players & Editors,"August 13, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,In-App Purchases,http://appsddoz.blogspot.com/2017/03/terms-of-service-and-privacy-policy.html
InShot Inc.,Video Players & Editors,"August 14, 2020",30M,"50,000,000+",1.404.1103,4.3 and up,Digital Purchases,http://inshotapp.com/YouCut/privacypolicy.html
"Recorder & Music (recorder, weather, forecast)",Video Players & Editors,"November 15, 2019",7.3M,"10,000,000+",5.0.8,4.1 and up,"Recorder & Music (recorder, weather, forecast)",https://policies.google.com/privacy
Yuvadvance Internet Private Limited,Video Players & Editors,"August 6, 2020",24M,"50,000,000+",2.3.7.15,4.2 and up,R$4.29 - R$43.99 per item,http://www.playit2019.com/privacy.html
Videolabs,Video Players & Editors,"May 7, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Videolabs,https://www.videolan.org/vlc/privacy.html
InShot Inc.,Video Players & Editors,"July 10, 2020",Varies with device,"50,000,000+",2.1.7.3,4.3 and up,R$14.99 per item,https://policies.google.com/privacy
XYZ ONLINE,Video Players & Editors,"August 3, 2020",42M,"10,000,000+",2.8.2.1000654,4.4 and up,"Users Interact, Shares Location",http://m.uvideo.tips/public/protocol/privacy
KWAI,Video Players & Editors,"August 13, 2020",50M,"100,000,000+",3.2.0.510263,4.4 and up,"Users Interact, Shares Location, In-App Purchases",https://m.kwai.com/public/protocol/privacy
Critical Force Ltd.,Action,"July 15, 2020",77M,"50,000,000+",1.17.0.f1147,4.4 and up,"Users Interact, In-Game Purchases",http://criticalopsgame.com/privacy/
Axlebolt,Action,"June 29, 2020",55M,"50,000,000+",0.13.6,4.4 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
Kefir!,Action,"July 30, 2020",Varies with device,"50,000,000+",1.17.1,4.1 and up,In-Game Purchases,http://www.kefirgames.ru/privacy_policy.html
Playgendary Limited,Action,"July 13, 2020",62M,"100,000,000+",1.5.5,5.0 and up,Digital Purchases,http://www.playgendary.com/privacy-policy/
"Nintendo Co., Ltd.",Action,"July 15, 2020",Varies with device,"100,000,000+",3.0.19,4.4 and up,Digital Purchases,https://supermariorun.com/app_privacy_policy/
Ivy,Action,"July 20, 2020",88M,"10,000,000+",3.8.7,4.1 and up,In-Game Purchases,https://sites.google.com/site/garfieldrushprivacypolicy/
Ruby Game Studio,Action,"July 2, 2020",42M,"100,000,000+",1.25,4.1 and up,In-Game Purchases,http://rubygamestudio.com/privacypolicy.html
Outfit7 Limited,Action,"August 6, 2020",91M,"100,000,000+",1.9.2.1108,4.4 and up,In-Game Purchases,http://outfit7.com/privacy/
CASUAL AZUR GAMES,Action,"July 31, 2020",28M,"100,000,000+",1.4.1-a,5.1 and up,Digital Purchases,https://policies.google.com/privacy
Outfit7 Limited,Action,"July 13, 2020",92M,"100,000,000+",4.5.1.679,4.4 and up,In-Game Purchases,http://outfit7.com/privacy/
SEGA,Action,"August 5, 2020",62M,"10,000,000+",3.6.1,4.4 and up,Digital Purchases,http://www.sega.com/mprivacy
Naxeex LLC,Action,"August 11, 2020",91M,"100,000,000+",4.4,4.4 and up,In-Game Purchases,https://naxeex.com/privacy-policy/
BANDAI NAMCO Entertainment Inc.,Action,"August 11, 2020",94M,"10,000,000+",2.11.0,6.0 and up,Digital Purchases,https://legal.bandainamcoent.co.jp/privacy/
Neron's Brother,Action,"May 1, 2020",32M,"50,000,000+",2.1.3,4.1 and up,Neron's Brother,https://neronsbrother.com/privacy-policy/
Warner Bros. International Enterprises,Action,"August 11, 2020",Varies with device,"50,000,000+",2.7.1,Varies with device,Digital Purchases,https://policies.warnerbros.com/privacy/
Mustard Games Studios,Action,"July 22, 2020",68M,"10,000,000+",1.1.5,5.0 and up,In-Game Purchases,http://mustardgamesstudios.com/privacy/
HGames-ArtWorks,Action,"August 4, 2020",126M,"10,000,000+",1.0.8,5.0 and up,R$3.39 - R$359.99 per item,https://policies.google.com/privacy
AppMobilEdition,Travel & Local,"July 27, 2020",25M,"1,000,000+",7.0.4,4.2 and up,Users Interact,https://policies.google.com/privacy
Visorando,Travel & Local,"July 7, 2020",Varies with device,"1,000,000+",Varies with device,4.0 and up,Digital Purchases,https://policies.google.com/privacy
Ubicarta,Travel & Local,"August 10, 2020",11M,"100,000+",1.41,5.0 and up,"Users Interact, In-App Purchases",https://policies.google.com/privacy
"Street View Live, GPS Navigation & Earth Maps 2019",Travel & Local,"July 9, 2020",12M,"5,000,000+",1.0.9,4.4 and up,In-App Purchases,https://app.termly.io/document/privacy-notice/46556628-1915-4b49-9730-c48f8d451ec8
Google LLC,Travel & Local,"July 27, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Users Interact,http://www.google.com/policies/privacy
ConfirmTkt.com - Official IRCTC partner,Travel & Local,"August 5, 2020",15M,"10,000,000+",7.3.2,4.4W and up,ConfirmTkt.com - Official IRCTC partner,https://www.confirmtkt.com/privacypolicy.htm
"Street View Live, GPS Navigation & Earth Maps 2019",Travel & Local,"July 16, 2020",12M,"5,000,000+",1.6,4.4 and up,In-App Purchases,https://app.termly.io/document/privacy-notice/46556628-1915-4b49-9730-c48f8d451ec8
Paolo Conte,Travel & Local,"August 14, 2020",5.8M,"1,000,000+",8.18.13,4.1 and up,"Users Interact, Shares Location, Digital Purchases",https://orariotreni.app/privacy
Google LLC,Travel & Local,"July 14, 2020",148k,"100,000,000+",144,4.4 and up,Shares Location,http://www.google.com/policies/privacy
JOYCITY Corp.,Action,"June 19, 2020",Varies with device,"50,000,000+",Varies with device,4.0.3 and up,In-Game Purchases,https://policies.google.com/privacy
